Gypaetus barbatus,BeardedVulture
Anas bahamensis,White-cheekedPintail
Pelecanus onocrotalus,GreatWhitePelican
Tetraogallus caspius,CaspianSnowcock
Puffinus yelkouan,YelkouanShearwater
Argya altirostris,IraqBabbler
Threskiornis aethiopicus,AfricanSacredIbis
Cursorius cursor,Cream-coloredCourser
Pyrrhula murina,AzoresBullfinch
Ketupa zeylonensis,BrownFishOwl
Uria lomvia,Thick-billedMurre
Microcarbo pygmaeus,PygmyCormorant
Aquila heliaca,EasternImperialEagle
Aquila fasciata,BonellisEagle
Estrilda melpoda,Orange-cheekedWaxbill
Circus macrourus,PallidHarrier
Rhea americana,GreaterRhea
Rhodospiza obsoleta,DesertFinch
Hydrobates castro,Band-rumpedStormPetrel
Oenanthe chrysopygia,Red-tailedWheatear
Oenanthe finschii,FinschsWheatear
Falco rusticolus,Gyrfalcon
Syrmaticus reevesii,ReevessPheasant
Phoenicopterus ruber,AmericanFlamingo
Buteo rufinus,Long-leggedBuzzard
Cairina moschata,MuscovyDuck
Hydrobates leucorhous,LeachsStormPetrel
Chrysolophus pictus,GoldenPheasant
Branta ruficollis,Red-breastedGoose
Agapornis personatus,Yellow-collaredLovebird
Aythya marila,GreaterScaup
Somateria spectabilis,KingEider
Passer moabiticus,DeadSeaSparrow
Spatula cyanoptera,CinnamonTeal
Tetraogallus caucasicus,CaucasianSnowcock
Aythya nyroca,FerruginousDuck
Glareola nordmanni,Black-wingedPratincole
Streptopelia roseogrisea,AfricanCollaredDove
Aquila adalberti,SpanishImperialEagle
Melanocorypha yeltoniensis,BlackLark
Xema sabini,SabinesGull
Alauda leucoptera,White-wingedLark
Phoenicopterus chilensis,ChileanFlamingo
Prunella montanella,SiberianAccentor
Ciconia nigra,BlackStork
Chrysolophus amherstiae,LadyAmherstsPheasant
Lanius minor,LesserGreyShrike
Carpodacus rubicilla,GreatRosefinch
Larus ichthyaetus,PallassGull
Larus glaucoides,IcelandGull
Carpospiza brachydactyla,PaleRockfinch
Pterodroma madeira,ZinosPetrel
Histrionicus histrionicus,HarlequinDuck
Estrilda troglodytes,Black-rumpedWaxbill
Anas rubripes,AmericanBlackDuck
Mergellus albellus,Smew
Geronticus eremita,NorthernBaldIbis
Chloephaga picta,UplandGoose
Phaethon aethereus,Red-billedTropicbird
Puffinus baroli,BaroloShearwater
Bubo scandiacus,SnowyOwl
Egretta gularis,WesternReefHeron
Bucephala islandica,BarrowsGoldeneye
Hippolais languida,UpchersWarbler
Phoeniconaias minor,LesserFlamingo
Emberiza cineracea,CinereousBunting
Prunella atrogularis,Black-throatedAccentor
Prunella ocularis,RaddesAccentor
Apus unicolor,PlainSwift
Agapornis fischeri,FischersLovebird
Phoenicurus erythrogastrus,G체ldenst채dtsRedstart
Curruca ruppeli,R체ppellsWarbler
Curruca melanothorax,CyprusWarbler
Gulosus aristotelis,EuropeanShag
Otus cyprius,CyprusScopsOwl
Anser erythropus,LesserWhite-frontedGoose
Calidris pugnax,Ruff
Poecile lugubris,SombreTit
Tichodroma muraria,Wallcreeper
Ficedula semitorquata,SemicollaredFlycatcher
Oxyura jamaicensis,RuddyDuck
Lanius nubicus,MaskedShrike
Euplectes afer,Yellow-crownedBishop
Stercorarius skua,GreatSkua
Aythya collaris,Ring-neckedDuck
Irania gutturalis,White-throatedRobin
Aratinga nenday,NandayParakeet
Sitta tephronota,EasternRockNuthatch
Lanius phoenicuroides,Red-tailedShrike
Oenanthe cypriaca,CyprusWheatear
Poecile hyrcanus,CaspianTit
Fringilla teydea,TenerifeBlueChaffinch
Phylloscopus orientalis,EasternBonellisWarbler
Hippolais olivetorum,Olive-treeWarbler
Quelea quelea,Red-billedQuelea
Serinus pusillus,Red-frontedSerin
Gallinago megala,SwinhoesSnipe
Euodice malabarica,IndianSilverbill
Cuculus saturatus,HimalayanCuckoo
Vanellus leucurus,White-tailedLapwing
Onychoprion fuscatus,SootyTern
Ammomanes deserti,DesertLark
Curruca balearica,BalearicWarbler
Clanga clanga,GreaterSpottedEagle
Emberiza buchanani,Grey-neckedBunting
Hieraaetus pennatus,BootedEagle
Gallinago stenura,Pin-tailedSnipe
Buteo lagopus,Rough-leggedBuzzard
Cygnus atratus,BlackSwan
Apus caffer,White-rumpedSwift
Loxia scotica,ScottishCrossbill
Sylvia nana,AsianDesertWarbler
Melanitta fusca,VelvetScoter
Oenanthe melanoleuca,EasternBlack-earedWheatear
Gyps fulvus,GriffonVulture
Melanocorypha bimaculata,BimaculatedLark
Circus cyaneus,HenHarrier
Emberiza caesia,CretzschmarsBunting
Larus hyperboreus,GlaucousGull
Pterocles orientalis,Black-belliedSandgrouse
Ichthyaetus audouinii,AudouinsGull
Anser cygnoid,SwanGoose
Turdus atrogularis,Black-throatedThrush
Calonectris diomedea,ScopolisShearwater
Lonchura punctulata,Scaly-breastedMunia
Fulica cristata,Red-knobbedCoot
Charadrius leschenaultii,GreaterSandPlover
Fratercula arctica,AtlanticPuffin
Acridotheres cristatellus,CrestedMyna
Branta hutchinsii,CacklingGoose
Larus philadelphia,BonapartesGull
Clanga pomarina,LesserSpottedEagle
Sitta whiteheadi,CorsicanNuthatch
Morus bassanus,NorthernGannet
Amazona aestiva,Turquoise-frontedAmazon
Emberiza bruniceps,Red-headedBunting
Streptopelia orientalis,OrientalTurtleDove
Zoothera aurea,WhitesThrush
Pluvialis fulva,PacificGoldenPlover
Accipiter badius,Shikra
Iduna rama,SykessWarbler
Pycnonotus cafer,Red-ventedBulbul
Pionus maximiliani,Scaly-headedParrot
Psittacara erythrogenys,Red-maskedParakeet
Bucanetes mongolicus,MongolianFinch
Psittacara mitratus,MitredParakeet
Gymnoris xanthocollis,Yellow-throatedSparrow
Meleagris gallopavo,WildTurkey
Poicephalus senegalus,SenegalParrot
Parabuteo unicinctus,HarrissHawk
Vanellus indicus,Red-wattledLapwing
Spatula discors,Blue-wingedTeal
Netta rufina,Red-crestedPochard
Stercorarius longicaudus,Long-tailedJaeger
Emberiza leucocephalos,PineBunting
Mergus serrator,Red-breastedMerganser
Vidua macroura,Pin-tailedWhydah
Pycnonotus jocosus,Red-whiskeredBulbul
Iduna opaca,WesternOlivaceousWarbler
Acridotheres tristis,CommonMyna
Phylloscopus sindianus,MountainChiffchaff
Larus delawarensis,Ring-billedGull
Carduelis corsicana,CorsicanFinch
Podilymbus podiceps,Pied-billedGrebe
Corvus splendens,HouseCrow
Falco vespertinus,Red-footedFalcon
Merops persicus,Blue-cheekedBee-eater
Ardeola ralloides,SquaccoHeron
Numida meleagris,HelmetedGuineafowl
Actitis macularius,SpottedSandpiper
Iduna caligata,BootedWarbler
Thalasseus elegans,ElegantTern
Anthropoides virgo,DemoiselleCrane
Halcyon smyrnensis,White-throatedKingfisher
Anser caerulescens,SnowGoose
Locustella lanceolata,LanceolatedWarbler
Amandava amandava,RedAvadavat
Sitta neumayer,WesternRockNuthatch
Pastor roseus,RosyStarling
Alectoris chukar,ChukarPartridge
Calidris maritima,PurpleSandpiper
Aix sponsa,WoodDuck
Cepphus grylle,BlackGuillemot
Amazona oratrix,Yellow-headedAmazon
Anser indicus,Bar-headedGoose
Prinia gracilis,GracefulPrinia
Psittacara acuticaudatus,Blue-crownedParakeet
Spilopelia senegalensis,LaughingDove
Ceryle rudis,PiedKingfisher
Bucanetes githagineus,TrumpeterFinch
Sinosuthora webbiana,Vinous-throatedParrotbill
Cuculus optatus,OrientalCuckoo
Regulus madeirensis,MadeiraFirecrest
Calidris falcinellus,Broad-billedSandpiper
Platalea leucorodia,EurasianSpoonbill
Poecile cinctus,Grey-headedChickadee
Myiopsitta monachus,MonkParakeet
Muscicapa tyrrhenica,MediterraneanFlycatcher
Anthus berthelotii,BerthelotsPipit
Tetrax tetrax,LittleBustard
Vanellus spinosus,Spur-wingedLapwing
Phylloscopus schwarzi,RaddesWarbler
Apus affinis,LittleSwift
Sylvia mystacea,MenetriessWarbler
Ploceus melanocephalus,Black-headedWeaver
Lymnocryptes minimus,JackSnipe
Colinus virginianus,NorthernBobwhite
Pterocles alchata,Pin-tailedSandgrouse
Podiceps nigricollis,Black-neckedGrebe
Oenanthe pleschanka,PiedWheatear
Pavo cristatus,IndianPeafowl
Pycnonotus barbatus,CommonBulbul
Cyanistes cyanus,AzureTit
Sitta krueperi,Kr체persNuthatch
Alectoris graeca,RockPartridge
Lagopus muta,RockPtarmigan
Phylloscopus proregulus,PallassLeafWarbler
Surnia ulula,NorthernHawk-Owl
Circaetus gallicus,Short-toedSnakeEagle
Calliope calliope,SiberianRubythroat
Pycnonotus xanthopygos,White-spectacledBulbul
Fulmarus glacialis,NorthernFulmar
Strix nebulosa,GreatGreyOwl
Hydrobates pelagicus,EuropeanStormPetrel
Gallus gallus,RedJunglefowl
Glareola pratincola,CollaredPratincole
Tadorna ferruginea,RuddyShelduck
Psittacula eupatria,AlexandrineParakeet
Phalaropus fulicarius,RedPhalarope
Oenanthe leucura,BlackWheatear
Gavia immer,CommonLoon
Curruca crassirostris,EasternOrpheanWarbler
Francolinus francolinus,BlackFrancolin
Callipepla californica,CaliforniaQuail
Acrocephalus baeticatus,AfricanReedWarbler
Oenanthe isabellina,IsabellineWheatear
Curruca sarda,MarmorasWarbler
Tringa stagnatilis,MarshSandpiper
Alca torda,Razorbill
Curruca iberiae,WesternSubalpineWarbler
Calidris melanotos,PectoralSandpiper
Chlidonias leucopterus,White-wingedTern
Gavia arctica,Black-throatedLoon
Falco columbarius,Merlin
Tarsiger cyanurus,Red-flankedBluetail
Acrocephalus agricola,PaddyfieldWarbler
Calidris minuta,LittleStint
Xenus cinereus,TerekSandpiper
Coracias garrulus,EuropeanRoller
Pandion haliaetus,WesternOsprey
Calidris temminckii,TemmincksStint
Sterna dougallii,RoseateTern
Stercorarius parasiticus,ParasiticJaeger
Puffinus puffinus,ManxShearwater
Anser fabalis,TaigaBeanGoose
Phalaropus lobatus,Red-neckedPhalarope
Phylloscopus nitidus,GreenWarbler
Clangula hyemalis,Long-tailedDuck
Monticola saxatilis,CommonRockThrush
Eremophila alpestris,HornedLark
Lanius meridionalis,IberianGreyShrike
Oenanthe hispanica,WesternBlack-earedWheatear
Plegadis falcinellus,GlossyIbis
Montifringilla nivalis,White-wingedSnowfinch
Anthus hodgsoni,Olive-backedPipit
Cyanistes teneriffae,AfricanBlueTit
Calidris ferruginea,CurlewSandpiper
Phylloscopus borealis,ArcticWarbler
Aythya ferina,CommonPochard
Bubulcus ibis,WesternCattleEgret
Podiceps grisegena,Red-neckedGrebe
Ardea alba,GreatEgret
Columba livia,RockDove
Phylloscopus canariensis,CanaryIslandsChiffchaff
Uria aalge,CommonMurre
Podiceps auritus,HornedGrebe
Dendrocopos syriacus,SyrianWoodpecker
Aix galericulata,MandarinDuck
Gelochelidon nilotica,Gull-billedTern
Caprimulgus ruficollis,Red-neckedNightjar
Anas acuta,NorthernPintail
Chersophilus duponti,DupontsLark
Somateria mollissima,CommonEider
Pernis apivorus,EuropeanHoneyBuzzard
Falco naumanni,LesserKestrel
Motacilla citreola,CitrineWagtail
Calidris alba,Sanderling
Aquila chrysaetos,GoldenEagle
Larus cachinnans,CaspianGull
Acrocephalus paludicola,AquaticWarbler
Mergus merganser,CommonMerganser
Calidris canutus,RedKnot
Pyrrhocorax graculus,AlpineChough
Milvus migrans,BlackKite
Iduna pallida,EasternOlivaceousWarbler
Hydrocoloeus minutus,LittleGull
Alectoris rufa,Red-leggedPartridge
Carduelis citrinella,CitrilFinch
Tachymarptis melba,AlpineSwift
Ptyonoprogne rupestris,EurasianCragMartin
Gallinago media,GreatSnipe
Phylloscopus fuscatus,DuskyWarbler
Prunella collaris,AlpineAccentor
Spatula clypeata,NorthernShoveler
Monticola solitarius,BlueRockThrush
Milvus milvus,RedKite
Circus pygargus,MontagusHarrier
Passer italiae,ItalianSparrow
Ciconia ciconia,WhiteStork
Curruca subalpina,MoltonisWarbler
Rissa tridactyla,Black-leggedKittiwake
Elanus caeruleus,Black-wingedKite
Passer hispaniolensis,SpanishSparrow
Lagopus lagopus,WillowPtarmigan
Calonectris borealis,CorysShearwater
Lanius senator,WoodchatShrike
Estrilda astrild,CommonWaxbill
Linaria flavirostris,Twite
Curruca conspicillata,SpectacledWarbler
Cercotrichas galactotes,Rufous-tailedScrubRobin
Accipiter nisus,EurasianSparrowhawk
Emberiza pusilla,LittleBunting
Perisoreus infaustus,SiberianJay
Pinicola enucleator,PineGrosbeak
Serinus canaria,AtlanticCanary
Acrocephalus melanopogon,MoustachedWarbler
Emberiza melanocephala,Black-headedBunting
Cecropis daurica,Red-rumpedSwallow
Tetrao urogallus,WesternCapercaillie
Chlidonias niger,BlackTern
Spatula querquedula,Garganey
Calandrella brachydactyla,GreaterShort-toedLark
Cygnus columbianus,TundraSwan
Alaudala rufescens,MediterraneanShort-toedLark
Loxia leucoptera,Two-barredCrossbill
Zapornia parva,LittleCrake
Charadrius morinellus,EurasianDotterel
Charadrius alexandrinus,KentishPlover
Falco subbuteo,EurasianHobby
Chlidonias hybrida,WhiskeredTern
Hydroprogne caspia,CaspianTern
Alopochen aegyptiaca,EgyptianGoose
Limosa lapponica,Bar-tailedGodwit
Chroicocephalus genei,Slender-billedGull
Ardea purpurea,PurpleHeron
Haliaeetus albicilla,White-tailedEagle
Perdix perdix,GreyPartridge
Bucephala clangula,CommonGoldeneye
Branta bernicla,BrantGoose
Cyanopica cooki,IberianMagpie
Aythya fuligula,TuftedDuck
Asio flammeus,Short-earedOwl
Porphyrio porphyrio,WesternSwamphen
Curruca hortensis,WesternOrpheanWarbler
Phalacrocorax carbo,GreatCormorant
Clamator glandarius,GreatSpottedCuckoo
Phoenicopterus roseus,GreaterFlamingo
Emberiza rustica,RusticBunting
Galerida theklae,TheklasLark
Cinclus cinclus,White-throatedDipper
Petronia petronia,RockSparrow
Plectrophenax nivalis,SnowBunting
Ichthyaetus melanocephalus,MediterraneanGull
Falco peregrinus,PeregrineFalcon
Strix uralensis,UralOwl
Larus marinus,GreatBlack-backedGull
Zapornia pusilla,BaillonsCrake
Bombycilla garrulus,BohemianWaxwing
Columba oenas,StockDove
Lanius excubitor,GreatGreyShrike
Anser brachyrhynchus,Pink-footedGoose
Pyrrhocorax pyrrhocorax,Red-billedChough
Melanitta nigra,CommonScoter
Gavia stellata,Red-throatedLoon
Apus pallidus,PallidSwift
Riparia riparia,SandMartin
Lyrurus tetrix,BlackGrouse
Larus fuscus,LesserBlack-backedGull
Picus sharpei,IberianGreenWoodpecker
Circus aeruginosus,WesternMarshHarrier
Anthus petrosus,EuropeanRockPipit
Phylloscopus humei,HumesLeafWarbler
Podiceps cristatus,GreatCrestedGrebe
Psittacula krameri,Rose-ringedParakeet
Tringa erythropus,SpottedRedshank
Remiz pendulinus,EurasianPendulineTit
Anthus cervinus,Red-throatedPipit
Nucifraga caryocatactes,SpottedNutcracker
Arenaria interpres,RuddyTurnstone
Calcarius lapponicus,LaplandLongspur
Emberiza cia,RockBunting
Dendrocopos leucotos,White-backedWoodpecker
Melanocorypha calandra,CalandraLark
Panurus biarmicus,BeardedReedling
Sternula albifrons,LittleTern
Tadorna tadorna,CommonShelduck
Tetrastes bonasia,HazelGrouse
Phasianus colchicus,CommonPheasant
Streptopelia turtur,EuropeanTurtleDove
Sturnus unicolor,SpotlessStarling
Anthus campestris,TawnyPipit
Phylloscopus trochiloides,GreenishWarbler
Mareca strepera,Gadwall
Acanthis flammea,CommonRedpoll
Branta canadensis,CanadaGoose
Curruca undata,DartfordWarbler
Branta leucopsis,BarnacleGoose
Picoides tridactylus,EurasianThree-toedWoodpecker
Sterna paradisaea,ArcticTern
Curruca nisoria,BarredWarbler
Phylloscopus inornatus,Yellow-browedWarbler
Recurvirostra avosetta,PiedAvocet
Curruca cantillans,EasternSubalpineWarbler
Galerida cristata,CrestedLark
Oenanthe oenanthe,NorthernWheatear
Falco tinnunculus,CommonKestrel
Upupa epops,EurasianHoopoe
Ficedula albicollis,CollaredFlycatcher
Pluvialis squatarola,GreyPlover
Limosa limosa,Black-tailedGodwit
Egretta garzetta,LittleEgret
Anser albifrons,GreaterWhite-frontedGoose
Thalasseus sandvicensis,SandwichTern
Corvus frugilegus,Rook
Merops apiaster,EuropeanBee-eater
Larus argentatus,EuropeanHerringGull
Ixobrychus minutus,LittleBittern
Anthus spinoletta,WaterPipit
Larus canus,CommonGull
Cygnus olor,MuteSwan
Delichon urbicum,CommonHouseMartin
Nycticorax nycticorax,Black-crownedNightHeron
Larus michahellis,Yellow-leggedGull
Locustella fluviatilis,RiverWarbler
Jynx torquilla,EurasianWryneck
Otus scops,EurasianScopsOwl
Himantopus himantopus,Black-wingedStilt
Porzana porzana,SpottedCrake
Mareca penelope,EurasianWigeon
Burhinus oedicnemus,EurasianStone-curlew
Motacilla cinerea,GreyWagtail
Locustella luscinioides,SavisWarbler
Picus canus,Grey-headedWoodpecker
Botaurus stellaris,EurasianBittern
Cisticola juncidis,ZittingCisticola
Aegolius funereus,BorealOwl
Saxicola rubetra,Whinchat
Sterna hirundo,CommonTern
Carpodacus erythrinus,CommonRosefinch
Bubo bubo,EurasianEagle-Owl
Glaucidium passerinum,EurasianPygmyOwl
Streptopelia decaocto,EurasianCollaredDove
Dendrocoptes medius,MiddleSpottedWoodpecker
Alcedo atthis,CommonKingfisher
Apus apus,CommonSwift
Lanius collurio,Red-backedShrike
Turdus torquatus,RingOuzel
Tringa glareola,WoodSandpiper
Fringilla montifringilla,Brambling
Accipiter gentilis,NorthernGoshawk
Calidris alpina,Dunlin
Loxia pytyopsittacus,ParrotCrossbill
Phylloscopus bonelli,WesternBonellisWarbler
Buteo buteo,CommonBuzzard
Phylloscopus ibericus,IberianChiffchaff
Anas crecca,EurasianTeal
Scolopax rusticola,EurasianWoodcock
Columba palumbus,CommonWoodPigeon
Crex crex,CornCrake
Charadrius dubius,LittleRingedPlover
Cygnus cygnus,WhooperSwan
Charadrius hiaticula,CommonRingedPlover
Saxicola rubicola,EuropeanStonechat
Hippolais polyglotta,MelodiousWarbler
Numenius phaeopus,EurasianWhimbrel
Ficedula parva,Red-breastedFlycatcher
Luscinia luscinia,ThrushNightingale
Vanellus vanellus,NorthernLapwing
Anser anser,GreylagGoose
Dryobates minor,LesserSpottedWoodpecker
Lophophanes cristatus,EuropeanCrestedTit
Anas platyrhynchos,Mallard
Tringa nebularia,CommonGreenshank
Pluvialis apricaria,EuropeanGoldenPlover
Tyto alba,WesternBarnOwl
Emberiza cirlus,CirlBunting
Tringa ochropus,GreenSandpiper
Chroicocephalus ridibundus,Black-headedGull
Spinus spinus,EurasianSiskin
Grus grus,CommonCrane
Athene noctua,LittleOwl
Coloeus monedula,WesternJackdaw
Lullula arborea,Woodlark
Tachybaptus ruficollis,LittleGrebe
Locustella naevia,CommonGrasshopperWarbler
Picus viridis,EuropeanGreenWoodpecker
Corvus corone,CarrionCrow
Coturnix coturnix,CommonQuail
Certhia familiaris,EurasianTreecreeper
Serinus serinus,EuropeanSerin
Curruca melanocephala,SardinianWarbler
Pica pica,EurasianMagpie
Anthus pratensis,MeadowPipit
Haematopus ostralegus,EurasianOystercatcher
Poecile montanus,WillowTit
Hirundo rustica,BarnSwallow
Acrocephalus arundinaceus,GreatReedWarbler
Luscinia svecica,Bluethroat
Turdus pilaris,Fieldfare
Coccothraustes coccothraustes,Hawfinch
Emberiza hortulana,OrtolanBunting
Passer montanus,EurasianTreeSparrow
Linaria cannabina,CommonLinnet
Turdus viscivorus,MistleThrush
Motacilla alba,WhiteWagtail
Actitis hypoleucos,CommonSandpiper
Asio otus,Long-earedOwl
Curruca curruca,LesserWhitethroat
Tringa totanus,CommonRedshank
Certhia brachydactyla,Short-toedTreecreeper
Muscicapa striata,SpottedFlycatcher
Hippolais icterina,IcterineWarbler
Regulus ignicapilla,CommonFirecrest
Caprimulgus europaeus,EuropeanNightjar
Phoenicurus ochruros,BlackRedstart
Acrocephalus dumetorum,BlythsReedWarbler
Ficedula hypoleuca,EuropeanPiedFlycatcher
Pyrrhula pyrrhula,EurasianBullfinch
Oriolus oriolus,EurasianGoldenOriole
Aegithalos caudatus,Long-tailedTit
Phylloscopus sibilatrix,WoodWarbler
Poecile palustris,MarshTit
Numenius arquata,EurasianCurlew
Sturnus vulgaris,CommonStarling
Ardea cinerea,GreyHeron
Acrocephalus schoenobaenus,SedgeWarbler
Gallinago gallinago,CommonSnipe
Phoenicurus phoenicurus,CommonRedstart
Corvus corax,NorthernRaven
Emberiza calandra,CornBunting
Regulus regulus,Goldcrest
Dryocopus martius,BlackWoodpecker
Passer domesticus,HouseSparrow
Cettia cetti,CettisWarbler
Emberiza schoeniclus,CommonReedBunting
Acrocephalus scirpaceus,EurasianReedWarbler
Gallinula chloropus,CommonMoorhen
Motacilla flava,WesternYellowWagtail
Sylvia borin,GardenWarbler
Alauda arvensis,EurasianSkylark
Carduelis carduelis,EuropeanGoldfinch
Fulica atra,EurasianCoot
Sitta europaea,EurasianNuthatch
Garrulus glandarius,EurasianJay
Cuculus canorus,CommonCuckoo
Prunella modularis,Dunnock
Anthus trivialis,TreePipit
Chloris chloris,EuropeanGreenfinch
Acrocephalus palustris,MarshWarbler
Rallus aquaticus,WaterRail
Emberiza citrinella,Yellowhammer
Turdus iliacus,Redwing
Phylloscopus trochilus,WillowWarbler
Periparus ater,CoalTit
Curruca communis,CommonWhitethroat
Dendrocopos major,GreatSpottedWoodpecker
Luscinia megarhynchos,CommonNightingale
Strix aluco,TawnyOwl
Cyanistes caeruleus,EurasianBlueTit
Loxia curvirostra,RedCrossbill
Troglodytes troglodytes,EurasianWren
Turdus philomelos,SongThrush
Sylvia atricapilla,EurasianBlackcap
Phylloscopus collybita,CommonChiffchaff
Erithacus rubecula,EuropeanRobin
Fringilla coelebs,CommonChaffinch
Turdus merula,CommonBlackbird
Parus major,GreatTit
Noise,Noise
Alectoris barbara,BarbaryPartridge
Columba bollii,BollesPigeon
Columba junoniae,LaurelPigeon
Puffinus mauretanicus,BalearicShearwater
Columba trocaz,TrocazPigeon
Otis tarda,GreatBustard
